COUNTY,FIPS,DMG,DMGCP,INJ,DTH,DMG2000,DMGCP2000,INJ2000,DTH2000,DMG2010,DMGCP2010,INJ2010,DTH2010,DMG2020,DMGCP2020,INJ2020,DTH2020,POP2000,PNW2000,POP2010,PNW2010,POP2020,PNW2020,MINC2000,MICPI2000,MINC2010,MICPI2010,MINC2020,MICPI2020,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2000,TMP2010,TMP2020,PCP2000,PCP2010,PCP2020,DMGPOP2000,DMGPOP2010,DMGPOP2020
LOGAN,30,13240000.0,19001089.0,0,0,0.0,0.0,0.0,0.0,13240000.0,19001089.0,0.0,0.0,0.0,0.0,0.0,0.0,22486.0,2.85,22353.0,6.75,21131.0,10.91,28344.0,51574.0,37551.0,54057.0,44232.0,54122.0,29.42,56.68,4.91,2.66,210.535,289.302,289.523,290.093,0.101,0.096,0.113,0.0,845.018633816597,0.0
LONOKE,45,3605000.0,4900532.0,0,2,0.0,0.0,0.0,1.0,3605000.0,4900532.0,0.0,1.0,0.0,0.0,0.0,0.0,52828.0,7.9,68356.0,10.24,74015.0,16.74,40314.0,73354.0,50757.0,73068.0,59278.0,72532.0,64.7,8.61,7.06,3.69,70.567,290.22,290.388,290.907,0.098,0.102,0.119,0.0,92.76391307639888,0.0
MADISON,11,16350000.0,23955909.0,0,0,205000.0,365010.0,0.0,0.0,16070000.0,23513923.0,0.0,0.0,75000.0,76976.0,0.0,0.0,14243.0,4.42,15717.0,6.4,16521.0,13.59,27895.0,50757.0,36502.0,52547.0,41446.0,50713.0,25.38,67.03,4.67,0.07,508.278,287.378,287.577,288.12,0.095,0.09,0.108,25.627325703854524,1650.9108333918416,4.659282125779312
MARION,4,60325000.0,87040275.0,1,2,0.0,0.0,0.0,0.0,60325000.0,87040275.0,1.0,2.0,0.0,0.0,0.0,0.0,16140.0,1.12,16653.0,3.04,16826.0,7.47,26737.0,48650.0,34109.0,49102.0,38426.0,47018.0,19.07,64.72,5.2,7.32,267.412,288.142,288.312,288.865,0.084,0.086,0.097,0.0,5392.829925650558,0.0
MILLER,70,40539000.0,73464504.0,0,0,40070000.0,72918359.0,0.0,0.0,0.0,0.0,0.0,0.0,469000.0,546145.0,0.0,0.0,40443.0,24.27,43462.0,28.37,42600.0,34.19,30951.0,56318.0,40307.0,58024.0,45391.0,55540.0,38.0,28.83,7.59,2.26,80.39,291.316,291.582,292.085,0.106,0.098,0.118,1802.990851321613,0.0,12.82030516431925
MISSISSIPPI,28,126010.0,227871.0,0,3,124010.0,224746.0,0.0,0.0,2000.0,3125.0,0.0,3.0,0.0,0.0,0.0,0.0,51979.0,35.2,46480.0,38.35,40685.0,42.96,27479.0,50000.0,33407.0,48091.0,42986.0,52597.0,83.38,0.02,6.55,2.37,71.885,289.316,289.476,289.991,0.097,0.098,0.112,4.3237846053213795,0.06012043325189018,0.0
MONROE,47,600000.0,798657.0,0,0,0.0,0.0,0.0,0.0,600000.0,798657.0,0.0,0.0,0.0,0.0,0.0,0.0,10254.0,39.6,8149.0,43.75,6799.0,47.52,22632.0,41181.0,29964.0,43135.0,38438.0,47032.0,54.51,1.36,3.45,2.57,55.734,290.405,290.562,291.128,0.101,0.101,0.118,0.0,77.88736102984201,0.0
MONTGOMERY,41,3590000.0,4869852.0,0,0,0.0,0.0,0.0,0.0,3590000.0,4869852.0,0.0,0.0,0.0,0.0,0.0,0.0,9245.0,0.0,9487.0,5.58,8484.0,10.69,28421.0,51714.0,35705.0,51399.0,41165.0,50369.0,10.13,79.77,4.36,2.35,279.673,289.491,289.615,290.264,0.099,0.102,0.112,0.0,526.7552190373175,0.0
NEVADA,61,40060000.0,72898552.0,0,1,40060000.0,72898552.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9955.0,30.83,8997.0,34.06,8310.0,37.21,26962.0,49059.0,38375.0,55243.0,39946.0,48878.0,11.4,56.53,4.19,0.34,91.059,291.071,291.222,291.818,0.109,0.105,0.124,7322.8078352586635,0.0,0.0
NEWTON,12,1265000.0,1830760.0,1,0,290000.0,509103.0,0.0,0.0,975000.0,1321656.0,1.0,0.0,0.0,0.0,0.0,0.0,8608.0,1.86,8330.0,3.95,7225.0,7.42,24756.0,45045.0,27441.0,39503.0,39542.0,48383.0,8.74,84.92,4.31,0.08,485.969,287.238,287.416,287.972,0.096,0.096,0.109,59.14300650557621,153.53810408921933,0.0
