COUNTY,Ag,AGPER,For,FORPER,Urb,URBPER,Wat,WATPER,Total
Desha,1340270.7409019999,56.83078819972075,3503.498039,0.1485569660936921,72659.05097,3.080923137730957,189384.7569,8.030381235060089,2358353.250692
Arkansas,1640714.843,55.15237347467278,112165.64706,3.7704307266277675,117796.35686999999,3.9597061584272364,113496.7412,3.8151752484759363,2974876.2195220003
Monroe,974609.9098,54.50981624429668,24397.21176,1.3645331496615918,61595.349021,3.4450205388605513,46029.64706,2.574432681015236,1787953.02745489
Drew,445249.31768,18.514867489155282,950207.6313700001,39.512622891078074,104815.509804,4.358558672119191,13548.36471,0.5633836310125028,2404820.4392539994
Ashley,636954.10586,23.533303688233524,954749.5568900001,35.27477264341118,143297.41568600002,5.294355700124628,43329.18431,1.6008670696202316,2706607.258795
Prairie,1180406.07041,60.713001653509316,159313.04318,8.194106499853358,77608.77647,3.99172953466203,99336.78824,5.109288015245988,1944239.352794
Dallas,37296.6431396,1.9398589520649985,1220887.847,63.50035874825684,93682.372551,4.872572267791891,3121.568627,0.16235785142662948,1922647.1646249003
Bradley,62074.20392,3.3036944003832405,871518.41966,46.383688247895826,90196.91764,4.8004329161132855,12813.2,0.6819402331046526,1878932.988257
Lafayette,389873.051,24.854688728896953,761677.96467,48.55752064672103,61857.68627,3.9434721989302433,53073.36078,3.38346510126792,1568609.6706039999
Pike,196981.9804,11.1458133474343,1121454.5373,63.45515932471098,99019.823526,5.602829601344996,34451.5451,1.9493686195842248,1767318.1333630001
Montgomery,233308.9961,10.130610577099256,1837205.9057999998,79.77411026889546,100518.0745172,4.364638680529635,54033.2549,2.3462012727979857,2303010.2117182002
Howard,371786.4784,21.701651952673952,871280.2744999999,50.85774327189523,111382.73333799999,6.5015525116493045,23465.28235,1.3696985235246877,1713171.32544
Sevier,342032.5608,20.447230423331632,767753.0157,45.89745135231479,91346.827451,5.46085327362468,50804.38431,3.0371639181729755,1672757.4039059996
Polk,331907.7922,13.372832936031958,1773961.0980999998,71.47432497040091,126118.960785,5.081434760734644,9303.015686,0.3748260134103677,2481955.721631
Logan,619281.65887,29.41642133912154,1193199.7568,56.67803379129997,103384.835295,4.910870250319841,56075.24706,2.6636233619807035,2105224.3294
Franklin,626142.756853,35.114160915795544,961584.3764000001,53.925767179243444,89154.32156999999,4.999785048511756,33086.61176,1.8555011565387347,1783163.090112
Johnson,403392.99214999995,20.53126316291377,1304657.78429,66.402423512706,109368.176473,5.566449731432593,54355.08235,2.7664796406644756,1964774.3489970001
Conway,586679.8626999999,35.976553768039004,723320.0314,44.35564207266554,102465.639209,6.283427833049901,38975.76078,2.3900829779612205,1630728.352923
Van Buren,321931.7412,15.44556767820911,1521652.6981000002,73.00550620956616,111633.16862299999,5.355910711607321,36122.77647,1.7330903334119716,2084298.537335
Searcy,425325.3843,22.10832867758257,1341959.60415,69.7547926734144,84026.14902499999,4.3676624737872105,3459.690196,0.17983400661980678,1923824.2315950003
Marion,351452.4275,19.073204706101336,1192510.1962,64.71712614998417,95906.41960600001,5.204809045669457,134824.502,7.316880251294236,1842650.1100130999
Fulton,614914.102,34.446059764540216,971047.0901500001,54.39580258884642,91468.2196118,5.123837214102714,9905.392157,0.5548770618879545,1785150.7725508001
Izard,430022.6745,25.586624633303927,1051697.38035,62.57666791671591,91994.329404,5.4737215371015555,11524.95294,0.6857420835660434,1680654.1724939998
Sharp,388165.38823333004,22.242216807003153,1184593.8745300001,67.87826680133087,95026.23137499999,5.445086307707304,8037.470588,0.46055410610372605,1745174.01570833
