BEGIN_DATE,BEGIN_DATE_TIME,END_DATE_TIME,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY, DAMAGE_PROPERTY_CPI ,WFO,CZ_NAME,EVENT_TYPE,ICE,SNOW,TOTAL_INJURIES,TOTAL_DEATHS,,
1/22/2020,1/22/2020 0:00,1/23/2020 12:00,0,0,0,0,125000," $152,949.16 ","LZK, SHV, TSA","CONWAY, JOHNSON, LOGAN, MONTGOMERY, NEWTON, PIKE, POLK, POPE, SCOTT, SEARCY, VAN BUREN, YELL, CRAWFORD, FRANKLIN, WASHINGTON, HEMPSTEAD, HOWARD, NEVADA, SEVIER","Ice Storm, Ice Storm, Winter Weather, Winter Weather",32,32,0,0,,
2/4/2011,2/4/2011 4:00,2/5/2011 1:00,0,0,0,0,100000," $139,161.92 ","JAN, LZK, TSA","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, BENTON, MADISON, WASHINGTON, CHICOT","Heavy Snow, Winter Storm, Winter Weather, Ice Storm, Winter Storm",1,49,0,0,,
1/14/2013,1/14/2013 8:00,1/14/2013 15:30,0,0,0,0,100000," $134,188.28 ","JAN, LZK, SHV","ARKANSAS, BRADLEY, CALHOUN, CLEVELAND, DALLAS, DESHA, DREW, GRANT, JEFFERSON, LINCOLN, OUACHITA, ASHLEY, CHICOT, COLUMBIA, LAFAYETTE, NEVADA, UNION","Ice Storm, Winter Weather",4,0,0,0,,
2/17/2021,2/17/2021 3:00,2/18/2021 11:01,0,0,0,0,75000," $87,336.61 ","JAN, LZK, MEG","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LAWRENCE, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, RANDOLPH, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, ASHLEY, CHICOT, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, ST. FRANCIS","Heavy Snow, Winter Storm",2,60,0,0,,
2/4/1996,2/4/1996 7:00,2/4/1996 12:30,0,0,1,0,30000," $59,420.51 ",SHV,"MILLER, NEVADA",Ice Storm,0,2,0,1,,
1/15/2013,1/15/2013 8:00,1/15/2013 18:00,0,0,0,0,35000," $46,965.90 ","JAN, LZK, MEG, SHV","ARKANSAS, BAXTER, BOONE, BRADLEY, CALHOUN, CLARK, CLEBURNE, CLEVELAND, CONWAY, DALLAS, DESHA, DREW, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LINCOLN, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, OUACHITA, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, ASHLEY, CHICOT, CLAY, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, RANDOLPH, ST. FRANCIS, COLUMBIA, HEMPSTEAD, HOWARD, LAFAYETTE, LITTLE RIVER, MILLER, NEVADA, SEVIER, UNION","Ice Storm, Ice Storm, Winter Weather, Winter Weather",62,53,0,0,,
12/22/2004,12/22/2004 12:00,12/23/2004 3:00,0,0,0,0,28000," $46,856.57 ","LZK, MEG","BAXTER, CLARK, CLEBURNE, CONWAY, FAULKNER, FULTON, GARLAND, GRANT, HOT SPRING, INDEPENDENCE, IZARD, JACKSON, JEFFERSON, JOHNSON, LOGAN, LONOKE, MARION, MONROE, MONTGOMERY, NEWTON, PERRY, PIKE, POLK, POPE, PRAIRIE, PULASKI, SALINE, SCOTT, SEARCY, SHARP, STONE, VAN BUREN, WHITE, WOODRUFF, YELL, CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, POINSETT, RANDOLPH, ST. FRANCIS",Winter Storm,35,47,0,0,,
3/13/1999,3/13/1999 15:00,3/14/1999 8:00,0,0,0,0,20000," $37,559.63 ",TSA,"BENTON, CARROLL, MADISON, WASHINGTON",Heavy Snow,0,4,0,0,,
1/16/2018,1/16/2018 1:00,1/16/2018 11:45,0,0,0,0,20000," $25,066.88 ",JAN,"ASHLEY, CHICOT",Heavy Snow,0,2,0,0,,
1/4/2010,1/4/2010 6:00,1/4/2010 9:00,0,0,0,0,15000," $21,593.35 ",JAN,"ASHLEY, CHICOT",Winter Weather,0,2,0,0,,
12/23/1998,12/23/1998 0:00,12/24/1998 3:00,0,0,0,0,11000," $21,060.81 ","MEG, TSA","CLAY, CRAIGHEAD, CRITTENDEN, CROSS, GREENE, LAWRENCE, LEE, MISSISSIPPI, PHILLIPS, RANDOLPH, ST. FRANCIS, SEBASTIAN",Ice Storm,12,0,0,0,,
