COUNTY,DMG,DMGCPI,POP2010,PNW2010,MICPI2010,MGRCP2010,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2010,PCP2010,DMGPOP2010,FIPS,County_low
NEWTON,-0.7371291669035317,-0.7371291669035317,-0.5894694833555143,-0.8278926658322382,-1.4206953582442419,-2.0877637448536004,-1.0390077675384533,1.6131281417570922,-0.6732505674420979,-1.1246054980261193,2.5052244658631833,-1.9433943856769966,-0.31566422122520427,-0.557281008361178,12.0,Newton
OUACHITA,-0.7398329108359661,-0.739832910835966,-0.30467356232705006,1.9355704226724275,-0.7737630756070376,-0.9912473676429837,-1.3097316451597592,0.1887191181544242,-0.15585456474983206,-0.4626149664854669,-1.0582216937488265,1.8639247839492834,1.3824754209055663,-0.562071503398504,66.0,Ouachita
PERRY,-0.19908412434909364,-0.19908412434909356,-0.5556109463698369,-0.7646012071105318,1.3232599547538961,1.450993654326117,-0.807163758906561,0.8997952479447564,-0.5480766746557778,-0.12565897124455674,-0.016288268097554067,0.39804612939567413,0.08105293954277702,0.20202277445549785,39.0,Perry
PIKE,-0.7398329108359661,-0.739832910835966,-0.5420675315755659,-0.4006409896527026,-0.5116351968119205,-0.5052912459246423,-0.9368305474989117,0.7272801376700323,-0.3025775487008968,-0.07129617086220237,-0.04569642144520959,0.7602647152584336,1.851230999203189,-0.562071503398504,52.0,Pike
POINSETT,-0.7309646307375814,-0.7309646307375812,-0.32927903341309556,-0.38968048521913967,-0.6029648197405362,-1.01616819439777,1.9329477261928918,-1.7363713236710139,-0.4831971537013473,-0.3195721391071183,-0.957199876330686,0.22750672289337157,-0.17419087020191543,-0.5567471808338115,27.0,Poinsett
POLK,-0.4694585175925299,-0.46945851759252977,-0.3920493991439898,-0.5876089281442757,-0.559248599488991,-0.4429891790376754,-0.8422532641813646,1.0582040691453556,-0.4517413630106871,-0.9606317338984589,1.497275623503811,-0.13343382135965537,0.7061640350755343,-0.36894003664346936,40.0,Polk
POPE,0.6120390553812151,0.6120390553812152,0.26578275301461907,-0.3649504520006957,0.6803942972563701,0.5289230643990076,-0.5018251094675867,0.7600296802973378,-0.017559919217500372,0.17188998144824172,0.6111862164607382,-0.7105359506557597,0.7662946059471065,-0.2389764515725069,22.0,Pope
PRAIRIE,-0.7398329108359661,-0.739832910835966,-0.5833061090106038,-0.14471038834476627,-0.08125070286260205,-1.1407723281717037,1.16819360032631,-1.5531572128286752,-0.7634908766883188,1.71349433520032,-1.0300704367412037,0.9261968197295876,0.27473409157176876,-0.562071503398504,46.0,Prairie
PULASKI,-0.7398329108359661,-0.739832910835966,5.404500115274925,1.8992813826664103,1.5750518279856631,2.260920523856688,-0.5089059106376376,-0.38593183161522576,4.971388721210312,1.8457491102933115,-0.6894296775686644,0.7312007053157511,0.46167780249272705,-0.562071503398504,44.0,Pulaski
RANDOLPH,-0.6857580321872788,-0.6857580321872788,-0.4351610020292992,-0.8592639653560262,-0.9494751701839841,-0.7544995134725095,0.37354548216772226,-0.02920702783896107,-0.5941490676169928,-0.5960424514046551,-0.5348337012167678,-0.7924769753383661,-0.5096937007527447,-0.5176563176219718,8.0,Randolph
SALINE,-0.7398329108359661,-0.739832910835966,0.9920043472549367,-0.4377073898199558,2.6562657869977127,2.0864747365731775,-1.072716826401496,0.685736158387807,1.6038153581424266,-0.5005791494703999,-0.1895924353118022,0.5897893644658727,0.648216039340842,-0.562071503398504,43.0,Saline
SCOTT,-0.19908412434909364,-0.19908412434909356,-0.5429960399184355,-0.2553202801715652,0.10022244399555603,-0.38068711215070855,-0.8844358418535391,1.388888801992902,-0.7801520676391019,-0.9355091447519447,0.8894452154943112,0.03956309990110767,-0.8369315184198474,0.1484212173515227,37.0,Scott
SEARCY,1.9639110215983961,1.9639110215983964,-0.5916306665673661,-0.8241538777739362,-1.1885588398542553,-1.0909306746621301,-0.47127338600790936,0.9872447682455906,-0.6559416898590834,-1.0707674174085087,1.4385608402319567,-1.2588199859022215,-1.081952029331681,4.307339559557597,13.0,Searcy
SEBASTIAN,-0.7398329108359661,-0.739832910835966,1.2901835954323495,0.5464625718844399,0.6195643628753446,0.36693769049289343,-0.29853515401392666,-0.0006059906009589039,2.1484709836610145,0.03647558007241961,0.08336494703968253,0.3535326401700565,-1.7787413928860767,-0.562071503398504,29.0,Sebastian
SHARP,1.9639110215983961,1.9639110215983964,-0.446447181024525,-0.8278334499567274,-0.7947739721620435,-0.019335124206300732,-0.4655874119761134,0.9098068717683173,-0.3477057117131033,-0.9122106614647709,-0.116246144279188,-0.8151274628795836,-0.46883137151436205,1.7493756502695477,7.0,Sharp
STONE,1.9639110215983961,1.9639110215983964,-0.5244098642965105,-0.8795447208594039,-0.9227032213477665,-0.8043411669820832,-0.7925903062388583,1.2366407435029636,-0.6388815873344788,-0.8839868807097698,0.7925113877040414,-0.9459070743451582,-0.6681506391323186,2.65761735096048,14.0,Stone
VAN BUREN,0.6120390553812151,0.6120390553812152,-0.4459509093240257,-0.8221999171814657,-0.6549837329855914,-0.4429891790376754,-0.7542281646462266,1.121390756869927,-0.373217609840157,-0.19345480324936512,1.0156008563067416,-1.0466295144654865,0.7952198896579866,0.5915805249601328,23.0,Van Buren
WASHINGTON,1.69353662835496,1.6935366283549602,2.5279972778293076,0.3142703372898811,1.0975622595017334,1.4634540677035102,0.02292468473179585,0.2376593296454546,1.4857258876033825,-0.7548342960826334,2.0521119314598684,-1.3392424019999438,-1.1838013862467442,-0.385210196453276,10.0,Washington
WHITE,0.07129026889434258,0.07129026889434291,0.5110690431775268,-0.4969112416936198,0.5680537777727486,0.3046356236059266,0.588034722096392,-0.6931035614279273,0.1525263543359277,-0.3356387629363597,-0.681472004383695,0.24393186828799102,0.8573071453330436,-0.40675146735255485,33.0,White
WOODRUFF,-0.19908412434909364,-0.19908412434909356,-0.606598861405006,1.021449567028571,-1.4639032503533276,-2.436655319420614,1.6687984015897135,-1.8574652270448382,-0.9387847487070238,-0.26811673408741904,-1.0422406332603746,0.6276241409981418,-0.06659458116049682,0.5372349335415854,34.0,Woodruff
YELL,-0.19908412434909364,-0.19908412434909356,-0.3676680507613956,-0.16386946510857256,0.132247116970525,-0.11901843122544806,-0.5404734722369253,0.7385526671756523,-0.7513179752661543,-0.08049783338662733,0.06835839210669058,0.1632629946668076,-0.1232760503165131,-0.20232551592115217,38.0,Yell
