COUNTY,FIPS,DMG,DMGCPI,County_low,POP2010,PNW2010,MICPI2010,MGRCP2010,AGPER,FORPER,URBPER,WATPER,ELEV,TMP2010,PCP2010,DMGPOP2010
LOGAN,30,10000000.0,14637494.286607808,Logan,22353.0,6.750771708495504,54056.7876245635,732.7342787383244,29.41642133912154,56.67803379129997,4.910870250319841,2.6636233619807035,210.53516824394265,289.522911326894,0.0963912557824521,447.3672437704111
LONOKE,45,0.0,0.0,Lonoke,68356.0,10.244894376499502,73067.57128864664,958.744655480794,64.69983520391457,8.608157344575519,7.060833973148144,3.691123424307664,70.56748329200785,290.3884563583532,0.1017764842997606,0.0
MADISON,11,16000000.0,23419990.85857249,Madison,15717.0,6.400712604186549,52546.69281435426,719.7782698804759,25.376093811757748,67.0268231699489,4.670277394212183,0.0651024181079397,508.27779487936414,287.576689911063,0.090255047563811,1018.0059807851371
MARION,4,50000000.0,73187471.43303904,Marion,16653.0,3.0444964871194378,49101.83401470631,755.7671833744997,19.073204706101336,64.71712614998417,5.204809045669457,7.316880251294236,267.41215897253863,288.31223264177845,0.0856749673558171,3002.4620188554613
MILLER,70,0.0,0.0,Miller,43462.0,28.36500851318393,58024.20544814468,893.9646111915511,37.99702628893896,28.828093966315212,7.587246087409122,2.264992827927487,80.38960820078962,291.5817365047962,0.0982100144194668,0.0
MISSISSIPPI,28,0.0,0.0,Mississippi,46480.0,38.35413080895009,48091.26532379411,797.5143230275672,83.38400458871683,0.0224293176884115,6.550970139233487,2.370981877483412,71.88526311596867,289.4762698861926,0.0979405770440048,0.0
MONROE,47,0.0,0.0,Monroe,8149.0,43.74769910418456,43134.87215739716,688.1080260057349,54.50981624429668,1.3645331496615918,3.4450205388605517,2.574432681015236,55.73362383103737,290.56161294747045,0.1010051265522067,0.0
MONTGOMERY,41,0.0,0.0,Montgomery,9487.0,5.576051438811005,51399.36625216479,755.7671833744997,10.130610577099256,79.77411026889546,4.364638680529635,2.3462012727979857,279.67347929178663,289.6149603128943,0.1016237534103109,0.0
NEWTON,12,50000.0,73187.47143303904,Newton,8330.0,3.949579831932773,39502.87100758028,547.0314851091616,8.739837382016663,84.92160888007554,4.307160136070123,0.0845152593545577,485.9691569539817,287.41640252570375,0.096108403543057,6.002400960384153
OUACHITA,66,0.0,0.0,Ouachita,26120.0,43.02067381316999,44999.09787638759,673.7124606081254,2.3650784820440607,50.40439564451048,6.115692638436288,1.2565501358592568,59.77636381720568,291.38106760170086,0.1061993782685624,0.0
PERRY,39,10000000.0,14637494.286607808,Perry,10445.0,4.844423168980374,62815.04961246913,955.865542401272,14.199088595531222,67.63565856968819,4.744699375596106,1.8531208713206688,184.3929560289525,289.85460826156395,0.0984658438519475,957.3958831977022
PIKE,52,0.0,0.0,Pike,11291.0,9.9902577273935,47226.091843397786,729.8551656588025,11.1458133474343,63.45515932471098,5.602829601344996,1.9493686195842248,180.87570265824448,290.23179633360786,0.1089848975366396,0.0
POINSETT,27,164000.0,240054.90630036805,Poinsett,24583.0,10.145222308099092,46450.17086846663,670.8333475286036,78.72073415569439,3.754342059359671,4.971482577966193,1.5098032785153772,71.85870450784725,289.6770209359636,0.0969490905949871,6.671276898669812
POLK,40,5000000.0,7318747.143303904,Polk,20662.0,7.346820249733811,46821.57645572496,737.0529483576073,13.372832936031958,71.47432497040091,5.081434760734644,0.3748260134103677,365.4171650835913,289.30116372343264,0.1021804855157738,241.99012680282644
POPE,22,25000000.0,36593735.71651952,Pope,61754.0,10.494866729280696,57353.37210061608,849.3383584589616,21.38892456463427,64.24876771071715,6.599094829498806,2.3799225903902577,259.43972009317366,288.7002115690777,0.1025378036395848,404.8320756550183
PRAIRIE,46,0.0,0.0,Prairie,8715.0,13.608720596672404,50882.5654543906,656.437782130994,60.71300165350932,8.194106499853358,3.99172953466203,5.109288015245988,63.143290751692135,290.4045859502052,0.0996167689946401,0.0
PULASKI,44,0.0,0.0,Pulaski,382748.0,42.50760291366643,64954.2306305539,1049.436717485734,21.22219231820546,36.47907711553157,24.03772157168423,5.343441226822175,103.88436837857664,290.2015311890128,0.1007276577667958,0.0
RANDOLPH,8,1000000.0,1463749.428660781,Randolph,17969.0,3.506038176860148,43506.27774465548,701.0640348635835,42.001352691891206,45.12346641265745,4.583655572206496,1.0203206758311114,122.37424812360854,288.6148841498683,0.0949554085093514,55.65139963270076
SALINE,43,0.0,0.0,Saline,107118.0,9.46619615750854,74140.04091076854,1029.2829259290804,7.946087215297092,62.448438384463365,12.26653306323106,1.189335660128322,163.6655523363076,290.05427571096146,0.1018361370618276,0.0
SCOTT,37,10000000.0,14637494.286607808,Scott,11233.0,12.044867800231462,52424.33050847458,744.2507310564121,12.379556078437492,79.48769419813517,3.933491153990693,0.4193048227964877,292.7198581117243,289.4813101260377,0.0930108401915393,890.2341315766047
SEARCY,13,50000000.0,73187471.43303904,Searcy,8195.0,4.002440512507627,41475.06346705278,662.1960082900379,22.10832867758257,69.7547926734144,4.3676624737872105,0.1798340066198067,358.3948006756002,288.1292684804052,0.0915548375628395,6101.281269066504
SEBASTIAN,29,0.0,0.0,Sebastian,125744.0,23.38083725664843,56836.5713028419,830.6241234420692,26.175810982595596,45.816545496504816,14.1703502481752,2.140175352882038,196.31161010762764,289.80825515369963,0.0874142570815984,0.0
SHARP,7,50000000.0,73187471.43303904,Sharp,17264.0,3.9504170528266913,44820.592865457234,785.9978707094797,22.242216807003157,67.87826680133087,5.445086307707304,0.460554106103726,172.4378640933109,288.5912975807082,0.0951982276046364,2896.2001853568117
STONE,14,50000000.0,73187471.43303904,Stone,12394.0,3.219299661126352,43733.72767793771,695.3058087045397,14.542250964189082,75.79831943813373,4.427295230416368,0.5105234845398463,281.1264462949249,288.4551132118309,0.0940137986908191,4034.2101016620945
VAN BUREN,23,25000000.0,36593735.71651952,Van Buren,17295.0,4.030066493206129,46008.22701076002,737.0529483576073,15.44556767820911,73.00550620956616,5.355910711607321,1.7330903334119716,307.80823675406185,288.3502281935482,0.102709688388997,1445.5044810638913
WASHINGTON,10,45000000.0,65868724.28973514,Washington,203065.0,20.097998177923326,60897.56030150754,957.305098941033,33.745254010796295,51.59034693226416,11.853757076277605,0.739184358618274,431.7763087972248,288.0455224296476,0.0909496109601855,221.60391992711692
WHITE,33,15000000.0,21956241.429911718,White,77076.0,8.62914525922466,56398.946114754566,823.4263407432644,47.05194964402366,29.03549039135762,7.193623106344953,1.4813577908862297,104.8361164364008,289.6941248869099,0.1030786338586445,194.6131091390316
WOODRUFF,34,10000000.0,14637494.286607808,Woodruff,7260.0,30.096418732782368,39135.78408994123,506.72390199585504,72.50078683249846,0.8199152093321137,3.3789983512709574,1.600903568314702,61.68771942685591,290.09367409352217,0.0975884675969354,1377.4104683195592
YELL,38,10000000.0,14637494.286607808,Yell,22185.0,13.337840883479828,52696.4066944894,774.481418391392,20.47886817545295,63.72832264943183,4.034279318107454,1.9330773451828325,194.51680662925864,289.6101221932252,0.097251645313027,450.755014649538
