COUNTY,Ag,AG11,For,FOR11,Urb,URB11,Wat,WAT11,Total
Cleveland,67771.32941176472,3.933268345764425,62127.98431372549,3.60574355274348,65937.58823529411,3.826842867817631,5762.286274509804,0.3344278236753576,1723028.3686274514
Pulaski,512734.2352941177,22.060252315208416,460958.45098039217,19.83261314630563,513393.9960784314,22.08863834517829,127375.86666666664,5.480312341389014,2324244.654901961
Grant,97694.64705882354,5.363694969327709,108050.98039215684,5.932285108838978,97888.31372549017,5.3743277824551345,5520.486274509804,0.3030893232154482,1821405.7215686275
Saline,179930.2901960785,8.55923850512072,517471.1725490198,24.615973111280347,225523.32549019612,10.728087690154961,25777.909803921564,1.2262486651625657,2102176.380392157
Perry,238118.98431372555,14.762024746095632,246487.33725490203,15.280815104444176,70993.52941176468,4.401195650189616,30249.678431372544,1.8753082743584386,1613050.976470589
Faulkner,815584.2980392157,42.677722684300306,481621.5529411763,25.2021907785886,178392.89019607846,9.33490543521106,47730.41176470589,2.497626893748311,1911030.5019607844
White,1414422.533333332,47.16233383684287,522540.9882352942,17.42354349552695,185231.50196078434,6.176336792363273,46118.70196078432,1.5377764188120295,2999051.1882352936
St. Francis,1304683.5019607844,70.55848877760181,22397.2,1.2112612618115284,86168.38431372547,4.660065807873476,31474.05882352941,1.7021461702765746,1849080.8470588236
Crittenden,1405110.4705882352,76.72746882531955,982.0,0.05362309652060368,121923.29019607844,6.657743745716789,77723.07058823532,4.244146350336696,1831300.4352941175
Desha,1346297.717647059,57.086346885793674,225.0,0.009540555466254479,69573.69411764706,2.950096389873932,180797.5686274511,7.666263251796213,2358353.250980392
Arkansas,1647920.258823529,55.39458240184402,11469.870588235295,0.3855579103639911,111677.90196078431,3.75403525110386,123841.49411764706,4.162912503767037,2974876.219607843
Monroe,975328.9215686276,54.55003048704911,8489.113725490197,0.4747951201823695,58234.6941176471,3.257059510152242,49016.61960784305,2.741493700073556,1787953.0274509806
Drew,450999.52941176464,18.753979384791602,70118.74509803923,2.9157580314357245,98056.85882352947,4.077512700096228,16552.043137254903,0.6882860303138985,2404820.439215686
Ashley,631097.8352941177,23.31693426287619,30276.98431372549,1.118632347379644,138415.65490196075,5.113991121198919,48227.18431372548,1.781831632812815,2706607.25882353
Prairie,1185116.5333333334,60.95527958224542,99856.3411764706,5.136010698755348,72824.28235294123,3.745643880871726,103419.9411764706,5.319300888546493,1944239.3529411766
Dallas,38508.73333333333,2.0029017305015615,78759.49019607845,4.096408932531659,90974.11764705884,4.731711533820384,3278.721568627451,0.1705316310145244,1922647.1647058825
Bradley,63529.811764705875,3.3811643183918703,40742.61960784314,2.168391308415361,85988.6705882353,4.576462871568209,12386.992156862743,0.6592567289212738,1878932.9882352941
Lafayette,398435.4117647058,25.400545415182275,120342.56470588237,7.671925461275104,58013.094117647066,3.698376671099567,50064.388235294144,3.191640927249912,1568609.6705882354
Pike,209483.83137254906,11.853204435663333,291846.9450980392,16.5135489527054,92813.8666666667,5.251678513115845,33320.94509803923,1.8853959833022647,1767318.1333333333
Montgomery,242747.34901960785,10.540437371035368,600398.7725490197,26.070174134788477,93590.78039215688,4.063845653573631,53276.25490196078,2.3133312492408487,2303010.211764706
Howard,381201.9529411766,22.25124523562183,243517.03137254916,14.214400378366754,104642.4862745098,6.108115675153976,21116.600000000013,1.2326029326902168,1713171.325490196
Sevier,347253.4705882354,20.75934440787071,233022.29803921568,13.930429929224902,83374.4549019608,4.984252630208057,46198.54901960786,2.7618200290909605,1672757.4039215685
Polk,324454.1294117647,13.072518844401682,755515.6509803925,30.440335595628465,113404.69803921568,4.569166849098438,9059.30980392157,0.3650069066581078,2481955.721568628
